ID	Individual_ID	Individual_code	Locality	Species_name	Zone	SLA	LA	LDMC	Thickness
135	140123	Q03-CYSE-04	Q03	Cyclobalanopsis sessilifolia	Q	6.787889711	1716.203333	499.3055905	0.474166664
136	140124	Q03-MATH-03	Q03	Machilus thunbergii	Q	9.033589072	2217.762667	452.7168418	0.315000005
137	140125	Q03-ELJA-03	Q03	Elaeocarpus japonicus	Q	8.871597781	2241.063333	444.4518837	0.299166667
139	140126	Q03-SYMI-01	Q03	Symplocos migoi	Q	11.71735156	808.851	393.2412276	0.280833336
140	140127	Q03-FAPO-01	Q03	Fatsia polycarpa	Q	18.0836757	55524.25367	291.8633419	0.239166662
141	140128	Q03-SYMI-02	Q03	Symplocos migoi	Q	12.12278859	911.144	392.5400811	0.273333335
142	140129	Q03-VIIN-01	Q03	Viburnum integrifolium	Q	18.39708595	997.653	351.1770931	0.255833335
143	140130	Q03-SCSU-03	Q03	Schima superba	Q	9.793680197	2039.387667	433.8774676	0.266666668
144	140131	Q03-TRAR-01	Q03	Trochodendron aralioides	Q	9.074684523	3477.903333	397.4228853	0.379166665
145	140132	Q03-EULO-02	Q03	Eurya loquaiana	Q	15.95477405	926.9493333	429.2821312	0.196666668
146	140133	U02-RHFO-01	U02	Rhododendron formosanum	U	5.289530123	2450.252667	482.0696509	0.620833327
147	140134	U02-SYMO-02	U02	Symplocos morrisonicola	U	10.6148233	493.3215	419.3012399	0.239166666
148	140135	U02-SYMP-01	U02	Symplocos species	U	18.52296467	1272.145333	310.9315997	0.217499996
149	140136	U02-RHLE-02	U02	Rhododendron leptosanthum	U	6.826703732	2582.651	467.9561648	0.439999995
150	140137	U02-ILAN-01	U02	Illicium anisatum	U	9.15787549	2149.385333	331.9900642	0.399166666
151	140138	U02-CLJA-02	U02	Cleyera japonica v. taipinensis	U	7.26981493	2048.619667	308.2695703	0.518333328
152	140139	U02-SYSI-01	U02	Sycopsis sinensis	U	9.311343372	2218.809	388.321536	0.458333328
153	140140	U02-PRPHA-02	U02	Prunus phaeosticta	U	11.05982714	1060.688333	457.9569868	0.279166666
154	140141	U02-CLJA-03	U02	Cleyera japonica v. taipinensis	U	8.167997285	1570.066333	375.5029122	0.444166663
155	140142	U02-DEDE-02	U02	Dendropanax dentiger	U	16.24520193	872.0046667	346.1715224	0.225833332
156	140143	U02-CATE-02	U02	Camellia tenuifolia	U	11.47075626	594.7818333	400.0433778	0.306666667
